Pos: x: -0.968015 y: 3.833 z: -2.68995 | UV: x:0.508107 y: 0.246069 | Normal: x:-0.710218 y: 0.303383 z: -0.635256
Pos: x: -0.834904 y: 3.89084 z: -2.81068 | UV: x:0.496406 y: 0.246983 | Normal: x:-0.496979 y: 0.379871 z: -0.780199
Pos: x: -0.835018 y: 3.51192 z: -2.9383 | UV: x:0.496645 y: 0.221535 | Normal: x:-0.494772 y: 0.041142 z: -0.868048
Pos: x: -0.968015 y: 3.49042 z: -2.8053 | UV: x:0.508196 y: 0.223685 | Normal: x:-0.703798 y: 0.032415 z: -0.70966
Pos: x: -0.976626 y: 4.39149 z: -2.2556 | UV: x:0.522169 y: 0.288591 | Normal: x:-0.999948 y: -0.006825 z: 0.007531
Pos: x: -0.986771 y: 4.22979 z: -2.43063 | UV: x:0.515529 y: 0.274943 | Normal: x:-0.999948 y: -0.006825 z: 0.007531
Pos: x: -0.968015 y: 3.833 z: -2.68995 | UV: x:0.508107 y: 0.246069 | Normal: x:-0.999948 y: -0.006825 z: 0.007531
Pos: x: -0.968015 y: 3.49042 z: -2.8053 | UV: x:0.508196 y: 0.223685 | Normal: x:-0.999991 y: -0.002777 z: 0.003064
Pos: x: -0.968015 y: 3.10624 z: -1.83473 | UV: x:0.572265 y: 0.220575 | Normal: x:-0.999997 y: -0.001666 z: 0.001838
Pos: x: -0.968015 y: 4.87479 z: -1.68982 | UV: x:0.545995 y: 0.330964 | Normal: x:-0.999987 y: -0.003367 z: 0.003715
Pos: x: -2.08188 y: 0.446159 z: 1.69252 | UV: x:0.872481 y: 0.892353 | Normal: x:-0.711473 y: -0.413045 z: -0.568507
Pos: x: -1.99538 y: 0.394686 z: 1.62167 | UV: x:0.874011 y: 0.89924 | Normal: x:-0.711473 y: -0.413045 z: -0.568507
Pos: x: -1.99538 y: 0.173454 z: 1.84291 | UV: x:0.864378 y: 0.900191 | Normal: x:-0.711474 y: -0.568507 z: -0.413044
Pos: x: -2.08188 y: 0.244301 z: 1.89438 | UV: x:0.863367 y: 0.893277 | Normal: x:-0.711474 y: -0.568507 z: -0.413044
Pos: x: 0.968015 y: 0.70707 z: -1.27996 | UV: x:0.353783 y: 0.880215 | Normal: x:0.709071 y: -0.67363 z: 0.208427
Pos: x: 0.835112 y: 0.581414 z: -1.23393 | UV: x:0.34784 y: 0.890118 | Normal: x:0.518897 y: -0.816363 z: 0.25357
Pos: x: 0.835112 y: 0.417056 z: -1.55901 | UV: x:0.366668 y: 0.898011 | Normal: x:0.502101 y: -0.822208 z: 0.268084
Pos: x: 0.968015 y: 0.542711 z: -1.60503 | UV: x:0.372396 y: 0.887301 | Normal: x:0.709323 y: -0.669778 z: 0.219676
Pos: x: -0.835112 y: 0.792023 z: -0.350614 | UV: x:0.721073 y: 0.09505 | Normal: x:-0.520455 y: -0.846434 z: 0.112589
Pos: x: -0.526294 y: 0.664106 z: -0.335575 | UV: x:0.728557 y: 0.075442 | Normal: x:-0.097642 y: -0.986478 z: 0.131635
Pos: x: -0.526294 y: 0.664106 z: 0.335575 | UV: x:0.771075 y: 0.089787 | Normal: x:-0.097642 y: -0.986478 z: -0.131635
Pos: x: -0.835112 y: 0.792023 z: 0.350614 | UV: x:0.765695 y: 0.110021 | Normal: x:-0.520455 y: -0.846434 z: -0.112589
Pos: x: 2.12119 y: 0.244301 z: -2.68808 | UV: x:0.82808 y: 0.893658 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.446159 z: -2.88994 | UV: x:0.818973 y: 0.892859 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.982471 z: -2.15177 | UV: x:0.846229 y: 0.836979 | Normal: x:1 y: 0 z: 0
Pos: x: 1.25617 y: 0.958583 z: -2.03135 | UV: x:0.613069 y: 0.474324 | Normal: x:0 y: -0.309017 z: 0.951057
Pos: x: 0.968015 y: 0.958583 z: -2.03135 | UV: x:0.569267 y: 0.504903 | Normal: x:0 y: -0.309017 z: 0.951057
Pos: x: 0.968015 y: 0.920158 z: -2.05093 | UV: x:0.564433 y: 0.497978 | Normal: x:0 y: -0.587785 z: 0.809017
Pos: x: 1.25617 y: 0.920158 z: -2.05093 | UV: x:0.608235 y: 0.467399 | Normal: x:0 y: -0.587785 z: 0.809017
Pos: x: 1.25617 y: 0.945509 z: -2.03801 | UV: x:0.613069 y: 0.474324 | Normal: x:0 y: -0.453991 z: 0.891006
Pos: x: 2.12119 y: 0.446159 z: -2.88994 | UV: x:0.818973 y: 0.892859 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.700516 z: -3.01954 | UV: x:0.809544 y: 0.89155 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.982471 z: -2.15177 | UV: x:0.846229 y: 0.836979 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.1147 z: -2.43373 | UV: x:0.836958 y: 0.894 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.244301 z: -2.68808 | UV: x:0.82808 y: 0.893658 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.982471 z: -2.15177 | UV: x:0.846229 y: 0.836979 | Normal: x:1 y: 0 z: 0
Pos: x: -0.968015 y: 1.73298 z: -0.294811 | UV: x:0.707426 y: 0.156121 | Normal: x:-0.710181 y: 0.695666 z: -0.108127
Pos: x: -0.837589 y: 1.8634 z: -0.31232 | UV: x:0.702932 y: 0.166899 | Normal: x:-0.49789 y: 0.857045 z: -0.132588
Pos: x: -0.837589 y: 1.64009 z: -1.12909 | UV: x:0.659976 y: 0.140785 | Normal: x:-0.510473 y: 0.798867 z: -0.318163
Pos: x: -0.968015 y: 1.5189 z: -1.0778 | UV: x:0.66517 y: 0.131422 | Normal: x:-0.710253 y: 0.649557 z: -0.271322
Pos: x: 2.0347 y: 1.57026 z: -2.96079 | UV: x:0.774642 y: 0.89017 | Normal: x:0 y: 0.587785 z: -0.809017
Pos: x: 2.0347 y: 1.29149 z: -3.10283 | UV: x:0.786067 y: 0.89385 | Normal: x:0 y: 0.309017 z: -0.951057
Pos: x: 1.34266 y: 1.29149 z: -3.10283 | UV: x:0.781873 y: 0.936106 | Normal: x:0 y: 0.309017 z: -0.951057
Pos: x: 1.34266 y: 1.57026 z: -2.96079 | UV: x:0.769334 y: 0.935337 | Normal: x:0 y: 0.587785 z: -0.809017
Pos: x: 2.0347 y: 0.031415 z: -1.84275 | UV: x:0.854962 y: 0.900759 | Normal: x:0 y: -0.951057 z: 0.309017
Pos: x: 2.0347 y: 0.173454 z: -1.56399 | UV: x:0.864378 y: 0.900191 | Normal: x:0 y: -0.809017 z: 0.587785
Pos: x: 1.34266 y: 0.173454 z: -1.56399 | UV: x:0.866004 y: 0.938598 | Normal: x:0 y: -0.809017 z: 0.587785
Pos: x: 1.34266 y: 0.031415 z: -1.84275 | UV: x:0.855877 y: 0.939012 | Normal: x:0 y: -0.951057 z: 0.309017
Pos: x: -2.08188 y: 0.700515 z: 1.56292 | UV: x:0.881924 y: 0.890998 | Normal: x:-0.711473 y: -0.21715 z: -0.66832
Pos: x: -1.99538 y: 0.673454 z: 1.47964 | UV: x:0.88399 y: 0.897864 | Normal: x:-0.711473 y: -0.21715 z: -0.66832
